provincia_nombre,tipo_norma,numero_norma,estado_vigencia,fecha,fecha_publicacion,nombre_norma,titulo_resumido,titulo_sumario,informacion_digesto,texto_actualizado,provincia_id
Chaco,Constitución Provincial,0,"Vigente, de alcance general",1994-10-27,1994-12-07,CONSTITUCION PROVINCIAL,CONSTITUCION DE LA PROVINCIA DEL CHACO 1957-1994 (T.O.),CONSTITUCION PROVINCIAL-CHACO-DERECHOS Y GARANTIAS CONSTITUCIONALES-PODER LEGISLATIVO PROVINCIAL-PODER JUDICIAL PROVINCIAL-PODER EJECUTIVO PROVINCIAL-CONSEJO DE LA MAGISTRATURA-MUNICIPALIDAD-REFORMA DE LA CONSTITUCION,,www.saij.gob.ar/LPH0000000,22
Chubut,Constitución Provincial,0,"Vigente, de alcance general",2010-05-06,2010-06-01,CONSTITUCION DE LA PROVINCIA DEL CHUBUT,Constitución de la Provincia del Chubut (LEY V - N° 67),ESTADO PROVINCIAL-CONSTITUCION PROVINCIAL-FORMA DE GOBIERNO-CAPITAL DE GOBIERNO PROVINCIAL-GOBIERNO PROVINCIAL-DIVISION POLITICA-LIMITES TERRITORIALES-SOBERANIA POPULAR-LIBERTAD E IGUALDAD-NO DISCRIMINACION-LIBERTAD DE PENSAMIENTO-DERECHOS...,,www.saij.gob.ar/LPU0000000,26
Ciudad Autónoma de Buenos Aires,Constitución Provincial,0,"Vigente, de alcance general",1996-10-01,1996-10-10,CONSTITUCION DE LA CIUDAD DE BUENOS AIRES,Constitución de la Ciudad de Buenos Aires,DERECHO CONSTITUCIONAL-CONSTITUCION DE LA CIUDAD DE BUENOS AIRES- BUENOS AIRES,,www.saij.gob.ar/LPX0000000,02
Córdoba,Constitución Provincial,0,"Vigente, de alcance general",2001-09-14,2001-09-14,CONSTITUCION PROVINCIAL,Constitución de la Provincia de Córdoba,DERECHO CONSTITUCIONAL-CONSTITUCION PROVINCIAL-CONVENCION CONSTITUYENTE PROVINCIAL-REFORMA DE LA CONSTITUCION-DERECHOS Y GARANTIAS CONSTITUCIONALES,,www.saij.gob.ar/LPO0000000,14
Corrientes,Constitución Provincial,0,"Vigente, de alcance general",2007-06-08,2007-06-13,CONSTITUCION DE LA PROVINCIA DE CORRIENTES,Constitución de la provincia de Corrientes,DERECHO CONSTITUCIONAL-CONSTITUCION PROVINCIAL,,www.saij.gob.ar/LPW1000000,18
Entre Ríos,Constitución Provincial,0,"Vigente, de alcance general",2008-10-03,2008-10-15,CONSTITUCION PROVINCIAL,Constitución de la Provincia de Entre Ríos,DERECHO CONSTITUCIONAL-CONSTITUCION PROVINCIAL-DERECHOS Y GARANTIAS- REGIMEN ECONOMICO Y DEL TRABAJO-REGIMEN ELECTORAL-PODER LEGISLATIVO- FACULTADES DE PODER LEGISLATIVO-FORMACION Y SANCION DE LA LEY- CAMARA DE DIPUTADOS-CAMARA DE SENADORES-ASAMBLEA...,,www.saij.gob.ar/LPE1000000,30
Formosa,Constitución Provincial,0,"Vigente, de alcance general",2025-09-05,2025-09-08,CONSTITUCION PROVINCIAL,Constitución de la provincia de Formosa,CONSTITUCION PROVINCIAL,,www.saij.gob.ar/LPP2000000,34
Jujuy,Constitución Provincial,0,"Vigente, de alcance general",2023-06-20,2023-06-21,CONSTITUCION PROVINCIAL,Constitución de la provincia de Jujuy.,DERECHO CONSTITUCIONAL-CONSTITUCION PROVINCIAL,,www.saij.gob.ar/LPY0000000,38
La Pampa,Constitución Provincial,0,"Vigente, de alcance general",1994-10-06,1994-10-14,CONSTITUCION DE LA PROVINCIA DE LA PAMPA,Constitución de la Provincia de la Pampa,"CONSTITUCION PROVINCIAL-PREAMBULO-DECLARACIONES-DERECHOS- DEBERES Y GARANTIAS-PROTECCION DEL MEDIO AMBIENTE-REGIMEN ECONOMICO,FINANCIERO Y SOCIAL-REGIMEN ELECTORAL- PODER LEGISLATIVO-ATRIBUCIONES Y DEBERES-FORMACION Y SANCION DE LEYES-PODER...",,www.saij.gob.ar/LPL0000260,42
La Rioja,Constitución Provincial,0,"Vigente, de alcance general",2024-07-11,2024-07-19,CONSTITUCION DE LA PROVINCIA DE LA RIOJA,Constitución de la Provincia de La Rioja,DERECHO CONSTITUCIONAL-CONSTITUCION PROVINCIAL-ORGANIZACION POLITICA-DERECHOS-GARANTIAS-EDUCACION-SALUD PUBLICA-REGIMEN ECONOMICO FINANCIERO-DERECHOS POLITICOS-REGIMEN ELECTORAL-PODER LEGISLATIVO-PODER EJECUTIVO-PODER...,,www.saij.gob.ar/LPF2000000,46
Mendoza,Constitución Provincial,0,"Vigente, de alcance general",1916-02-11,1916-12-28,CONSTITUCION PROVINCIAL,Constitución de la provincia de Mendoza,DERECHO CONSTITUCIONAL-CONSTITUCION PROVINCIAL-DERECHOS Y GARANTIAS CONSTITUCIONALES-REGIMEN ELECTORAL-PODER LEGISLATIVO- PODER EJECUTIVO-FACULTADES DEL PODER EJECUTIVO-PODER JUDICIAL- ORGANIZACION DE LA JUSTICIA-DEPARTAMENTO DE IRRIGACION-...,,www.saij.gob.ar/LPM0000000,50
Misiones,Constitución Provincial,0,"Vigente, de alcance general",1958-04-21,1958-04-21,LEY,Constitución de la Provincia de Misiones,"PREÁMBULO La Honorable Convención Constituyente, en cumplimiento del mandato conferido por el pueblo de Misiones e invocando a Dios, sanciona la presente Constitución.",,www.saij.gob.ar/LPN0000000,54
Neuquén,Constitución Provincial,0,"Vigente, de alcance general",2006-02-17,2006-03-03,CONSTITUCION DE LA PROVINCIA DEL NEUQUEN,CONSTITUCION DE LA PROVINCIA DE NEUQUEN,DERECHO CONSTITUCIONAL-CONSTITUCION PROVINCIAL-DERECHOS Y GARANTIAS CONSTITUCIONALES,,www.saij.gob.ar/LPQ0000000,58
